# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4077218	4078054	+	ACT41428.1			DNA-binding transcriptional activator, L-rhamnose-binding	rhaS		ECB_03791	837	278	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4078038	4078976	+					rhaR		ECB_03792	939		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4078038	4078976	+	ACT41429.1			DNA-binding transcriptional activator, L-rhamnose-binding	rhaR		ECB_03792	939	312	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4078973	4080007	-					rhaT		ECB_03793	1035		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4078973	4080007	-	ACT41430.1			L-rhamnose:proton symporter	rhaT		ECB_03793	1035	344	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4080292	4080912	+					sodA		ECB_03794	621		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4080292	4080912	+	ACT41431.1			superoxide dismutase, Mn	sodA		ECB_03794	621	206	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4081172	4082155	+					kdgT		ECB_03795	984		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4081172	4082155	+	ACT41432.1			2-keto-3-deoxygluconate permease	kdgT		ECB_03795	984	327	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4082304	4082978	+					yiiM		ECB_03796	675		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4082304	4082978	+	ACT41433.1			hypothetical protein	yiiM		ECB_03796	675	224	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4083084	4084457	-					cpxA		ECB_03797	1374		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4083084	4084457	-	ACT41434.1			two-component sensor protein	cpxA		ECB_03797	1374	457	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4084454	4085152	-					cpxR		ECB_03798	699		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4084454	4085152	-	ACT41435.1			DNA-binding response regulator in two-component regulatory system with CpxA	cpxR		ECB_03798	699	232	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4085302	4085802	+					cpxP		ECB_03799	501		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4085302	4085802	+	ACT41436.1			periplasmic protein combats stress	cpxP		ECB_03799	501	166	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4085951	4086853	+					fieF		ECB_03800	903		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4085951	4086853	+	ACT41437.1			ferrous iron efflux protein F	fieF		ECB_03800	903	300	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4087034	4087996	+					pfkA		ECB_03801	963		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4087034	4087996	+	ACT41438.1			6-phosphofructokinase	pfkA		ECB_03801	963	320	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4088316	4089305	+					sbp		ECB_03802	990		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4088316	4089305	+	ACT41439.1			sulfate transporter subunit	sbp		ECB_03802	990	329	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4089412	4090167	+					cdh		ECB_03803	756		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4089412	4090167	+	ACT41440.1			CDP-diacylglycerol pyrophosphatase	cdh		ECB_03803	756	251	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4090222	4090989	-					tpiA		ECB_03804	768		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4090222	4090989	-	ACT41441.1			triosephosphate isomerase	tpiA		ECB_03804	768	255	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4091097	4091696	-					yiiQ		ECB_03805	600		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4091097	4091696	-	ACT41442.1			hypothetical protein	yiiQ		ECB_03805	600	199	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4091797	4092237	+					yiiR		ECB_03806	441		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4091797	4092237	+	ACT41443.1			conserved inner membrane protein	yiiR		ECB_03806	441	146	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4092449	4092748	+					yiiS		ECB_03807	300		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4092449	4092748	+	ACT41444.1			hypothetical protein	yiiS		ECB_03807	300	99	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4092775	4093203	+					yiiT		ECB_03808	429		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4092775	4093203	+	ACT41445.1			stress-induced protein	yiiT		ECB_03808	429	142	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4093208	4093954	-					fpr		ECB_03809	747		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4093208	4093954	-	ACT41446.1			ferredoxin-NADP reductase	fpr		ECB_03809	747	248	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4094051	4095061	-					glpX		ECB_03810	1011		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4094051	4095061	-	ACT41447.1			fructose 1,6-bisphosphatase II	glpX		ECB_03810	1011	336	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4095196	4096704	-					glpK		ECB_03811	1509		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4095196	4096704	-	ACT41448.1			glycerol kinase	glpK		ECB_03811	1509	502	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4096727	4097572	-					glpF		ECB_03812	846		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4096727	4097572	-	ACT41449.1			glycerol facilitator	glpF		ECB_03812	846	281	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4097998	4098243	+					yiiU		ECB_03813	246		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4097998	4098243	+	ACT41450.1			hypothetical protein	yiiU		ECB_03813	246	81	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4098328	4098813	-					menG		ECB_03814	486		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4098328	4098813	-	ACT41451.1			ribonuclease activity regulator protein RraA	menG		ECB_03814	486	161	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4098906	4099832	-					menA		ECB_03815	927		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4098906	4099832	-	ACT41452.1			1,4-dihydroxy-2-naphthoate octaprenyltransferase	menA		ECB_03815	927	308	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4099899	4101230	-					hslU		ECB_03816	1332		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4099899	4101230	-	ACT41453.1			ATP-dependent protease ATP-binding subunit	hslU		ECB_03816	1332	443	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4101240	4101770	-					hslV		ECB_03817	531		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4101240	4101770	-	ACT41454.1			ATP-dependent protease peptidase subunit	hslV		ECB_03817	531	176	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4101863	4102822	-					ftsN		ECB_03818	960		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4101863	4102822	-	ACT41455.1			essential cell division protein	ftsN		ECB_03818	960	319	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4102914	4103939	-					cytR		ECB_03819	1026		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4102914	4103939	-	ACT41456.1			DNA-binding transcriptional dual regulator	cytR		ECB_03819	1026	341	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4104095	4106293	-					priA		ECB_03820	2199		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4104095	4106293	-	ACT41457.1			primosome assembly protein PriA	priA		ECB_03820	2199	732	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4106496	4106708	+					rpmE		ECB_03821	213		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4106496	4106708	+	ACT41458.1			50S ribosomal subunit protein L31	rpmE		ECB_03821	213	70	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4106763	4107386	-							ECB_03822	624		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4106763	4107386	-	ACT41459.1			putative outer membrane lipoprotein			ECB_03822	624	207	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4107393	4108001	-					yiiX		ECB_03823	609		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4107393	4108001	-	ACT41460.1			predicted peptidoglycan peptidase	yiiX		ECB_03823	609	202	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4108185	4108502	-					metJ		ECB_03824	318		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4108185	4108502	-	ACT41461.1			transcriptional repressor protein MetJ	metJ		ECB_03824	318	105	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4108779	4109939	+					metB		ECB_03825	1161		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4108779	4109939	+	ACT41462.1			cystathionine gamma-synthase	metB		ECB_03825	1161	386	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4109942	4112374	+					metL		ECB_03826	2433		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4109942	4112374	+	ACT41463.1			bifunctional aspartate kinase II/homoserine dehydrogenase II	metL		ECB_03826	2433	810	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4112723	4113613	+					metF		ECB_03827	891		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4112723	4113613	+	ACT41464.1			5,10-methylenetetrahydrofolate reductase	metF		ECB_03827	891	296	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4113942	4116122	+					katG		ECB_03828	2181		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4113942	4116122	+	ACT41465.1			catalase/hydroperoxidase HPI(I)	katG		ECB_03828	2181	726	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4116215	4117120	+					yijE		ECB_03829	906		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4116215	4117120	+	ACT41466.1			predicted permease	yijE		ECB_03829	906	301	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4117147	4117764	-					yijF		ECB_03830	618		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4117147	4117764	-	ACT41467.1			hypothetical protein	yijF		ECB_03830	618	205	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4118039	4119142	-					gldA		ECB_03831	1104		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4118039	4119142	-	ACT41468.1			glycerol dehydrogenase	gldA		ECB_03831	1104	367	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4119153	4119815	-					talC		ECB_03832	663		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4119153	4119815	-	ACT41469.1			fructose-6-phosphate aldolase 2	talC		ECB_03832	663	220	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4119827	4122328	-					ptsA		ECB_03833	2502		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4119827	4122328	-	ACT41470.1			fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component	ptsA		ECB_03833	2502	833	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4122637	4123716	+					frwC		ECB_03834	1080		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4122637	4123716	+	ACT41471.1			predicted enzyme IIC component of PTS	frwC		ECB_03834	1080	359	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4123731	4124051	+					frwB		ECB_03835	321		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4123731	4124051	+	ACT41472.1			predicted enzyme IIB component of PTS	frwB		ECB_03835	321	106	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4124102	4126399	+					pflD		ECB_03836	2298		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4124102	4126399	+	ACT41473.1			predicted formate acetyltransferase 2 (pyruvate formate lyase II)	pflD		ECB_03836	2298	765	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4126365	4127243	+					pflC		ECB_03837	879		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4126365	4127243	+	ACT41474.1			pyruvate formate lyase II activase	pflC		ECB_03837	879	292	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4127245	4127586	+					frwD		ECB_03838	342		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4127245	4127586	+	ACT41475.1			predicted enzyme IIB component of PTS	frwD		ECB_03838	342	113	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4127573	4128424	-					yijO		ECB_03839	852		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4127573	4128424	-	ACT41476.1			predicted DNA-binding transcriptional regulator	yijO		ECB_03839	852	283	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4128639	4130372	-					yijP		ECB_03840	1734		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4128639	4130372	-	ACT41477.1			conserved inner membrane protein	yijP		ECB_03840	1734	577	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4130554	4133205	-					ppc		ECB_03841	2652		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4130554	4133205	-	ACT41478.1			phosphoenolpyruvate carboxylase	ppc		ECB_03841	2652	883	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4133557	4134708	-					argE		ECB_03842	1152		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4133557	4134708	-	ACT41479.1			acetylornithine deacetylase	argE		ECB_03842	1152	383	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4134862	4135866	+					argC		ECB_03843	1005		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4134862	4135866	+	ACT41480.1			N-acetyl-gamma-glutamyl-phosphate reductase	argC		ECB_03843	1005	334	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4135877	4136650	+					argB		ECB_03844	774		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4135877	4136650	+	ACT41481.1			acetylglutamate kinase	argB		ECB_03844	774	257	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4136711	4138084	+					argH		ECB_03845	1374		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4136711	4138084	+	ACT41482.1			argininosuccinate lyase	argH		ECB_03845	1374	457	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4138351	4139268	+					oxyR		ECB_03846	918		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4138351	4139268	+	ACT41483.1			DNA-binding transcriptional dual regulator	oxyR		ECB_03846	918	305	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4139251	4140651	-					udhA		ECB_03847	1401		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4139251	4140651	-	ACT41484.1			soluble pyridine nucleotide transhydrogenase	udhA		ECB_03847	1401	466	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4140928	4141632	+					yijC		ECB_03848	705		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4140928	4141632	+	ACT41485.1			DNA-binding transcriptional repressor	yijC		ECB_03848	705	234	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4141632	4141991	+					yijD		ECB_03849	360		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4141632	4141991	+	ACT41486.1			conserved inner membrane protein	yijD		ECB_03849	360	119	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4142031	4143131	-					trmA		ECB_03850	1101		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4142031	4143131	-	ACT41487.1			tRNA (uracil-5-)-methyltransferase	trmA		ECB_03850	1101	366	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4143500	4145344	+					btuB		ECB_03851	1845		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4143500	4145344	+	ACT41488.1			vitamin B12/cobalamin outer membrane transporter	btuB		ECB_03851	1845	614	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4145289	4146146	+					murI		ECB_03852	858		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4145289	4146146	+	ACT41489.1			glutamate racemase	murI		ECB_03852	858	285	
gene	rRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4146520	4148061	+					rrsB		ECB_r00017	1542		
rRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4146520	4148061	+				16S ribosomal RNA	rrsB		ECB_r00017	1542		
gene	tRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4148147	4148222	+					gltT		ECB_t00073	76		
tRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4148147	4148222	+				tRNA-Glu	gltT		ECB_t00073	76		
gene	rRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4148416	4151323	+					rrlB		ECB_r00018	2908		
rRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4148416	4151323	+				23S ribosomal RNA	rrlB		ECB_r00018	2908		
gene	rRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4151416	4151535	+					rrfB		ECB_r00019	120		
rRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4151416	4151535	+				5S ribosomal RNA	rrfB		ECB_r00019	120		
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4151668	4152696	+					murB		ECB_03853	1029		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4151668	4152696	+	ACT41490.1			UDP-N-acetylenolpyruvoylglucosamine reductase	murB		ECB_03853	1029	342	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4152693	4153658	+					birA		ECB_03854	966		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4152693	4153658	+	ACT41491.1			biotin-protein ligase	birA		ECB_03854	966	321	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4153687	4154637	-					coaA		ECB_03855	951		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4153687	4154637	-	ACT41492.1			pantothenate kinase	coaA		ECB_03855	951	316	
gene	tRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4154999	4155074	+					thrU		ECB_t00074	76		
tRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4154999	4155074	+				tRNA-Thr	thrU		ECB_t00074	76		
gene	tRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155083	4155167	+					tyrU		ECB_t00075	85		
tRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155083	4155167	+				tRNA-Tyr	tyrU		ECB_t00075	85		
gene	tRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155284	4155358	+					glyT		ECB_t00076	75		
tRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155284	4155358	+				tRNA-Gly	glyT		ECB_t00076	75		
gene	tRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155365	4155440	+					thrT		ECB_t00077	76		
tRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155365	4155440	+				tRNA-Thr	thrT		ECB_t00077	76		
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155555	4156739	+					tufB		ECB_03856	1185		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4155555	4156739	+	ACT41493.1			protein chain elongation factor EF-Tu (duplicate of tufA)	tufB		ECB_03856	1185	394	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4156969	4157352	+					secE		ECB_03857	384		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4156969	4157352	+	ACT41494.1			translocase	secE		ECB_03857	384	127	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4157354	4157899	+					nusG		ECB_03858	546		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4157354	4157899	+	ACT41495.1			transcription antitermination protein NusG	nusG		ECB_03858	546	181	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4158058	4158486	+					rplK		ECB_03859	429		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4158058	4158486	+	ACT41496.1			50S ribosomal protein L11	rplK		ECB_03859	429	142	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4158490	4159194	+					rplA		ECB_03860	705		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4158490	4159194	+	ACT41497.1			50S ribosomal protein L1	rplA		ECB_03860	705	234	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4159607	4160104	+					rplJ		ECB_03861	498		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4159607	4160104	+	ACT41498.1			50S ribosomal protein L10	rplJ		ECB_03861	498	165	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4160171	4160536	+					rplL		ECB_03862	366		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4160171	4160536	+	ACT41499.1			50S ribosomal protein L7/L12	rplL		ECB_03862	366	121	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4160856	4164884	+					rpoB		ECB_03863	4029		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4160856	4164884	+	ACT41500.1			DNA-directed RNA polymerase subunit beta	rpoB		ECB_03863	4029	1342	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4164961	4169184	+					rpoC		ECB_03864	4224		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4164961	4169184	+	ACT41501.1			DNA-directed RNA polymerase subunit beta'	rpoC		ECB_03864	4224	1407	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4169397	4169936	+					htrC		ECB_03865	540		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4169397	4169936	+	ACT41502.1			heat shock protein	htrC		ECB_03865	540	179	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4170346	4171479	-					thiH		ECB_03866	1134		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4170346	4171479	-	ACT41503.1			thiamine biosynthesis protein ThiH	thiH		ECB_03866	1134	377	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4171476	4172246	-					thiG		ECB_03867	771		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4171476	4172246	-	ACT41504.1			thiazole synthase	thiG		ECB_03867	771	256	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4172248	4172448	-					thiS		ECB_03868	201		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4172248	4172448	-	ACT41505.1			sulfur carrier protein ThiS	thiS		ECB_03868	201	66	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4172432	4173187	-					thiF		ECB_03869	756		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4172432	4173187	-	ACT41506.1			thiamine biosynthesis protein ThiF	thiF		ECB_03869	756	251	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4173180	4173815	-					thiE		ECB_03870	636		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4173180	4173815	-	ACT41507.1			thiamine-phosphate pyrophosphorylase	thiE		ECB_03870	636	211	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4173815	4175710	-					thiC		ECB_03871	1896		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4173815	4175710	-	ACT41508.1			thiamine biosynthesis protein ThiC	thiC		ECB_03871	1896	631	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4175944	4176420	-					rsd		ECB_03872	477		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4175944	4176420	-	ACT41509.1			stationary phase protein, binds sigma 70 RNA polymerase subunit	rsd		ECB_03872	477	158	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4176515	4177288	+					nudC		ECB_03873	774		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4176515	4177288	+	ACT41510.1			NADH pyrophosphatase	nudC		ECB_03873	774	257	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4177328	4178392	+					hemE		ECB_03874	1065		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4177328	4178392	+	ACT41511.1			uroporphyrinogen decarboxylase	hemE		ECB_03874	1065	354	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	4178402	4179073	+					nfi		ECB_03875	672		
